Batch_ID,Leather_Used_kg,Cork_Used_kg,Thread_Used_m,Glue_Used_L
B020748,4.5,1.04,115.58,0.33
B020749,3.12,1.37,55.54,0.16
B020750,3.9,1.72,141.21,0.36
B020751,3.87,1.19,137.44,0.15
B020752,1.07,1.4,89.42,0.16
B020753,4.26,1.32,164.57,0.32
B020754,1.08,1.91,143.29,0.21
B020755,3.6,0.82,83.01,0.26
B020756,2.77,0.51,105.9,0.12
B020757,4.99,1.05,140.3,0.38
B020758,3.45,1.35,51.08,0.16
B020759,4.6,0.89,141.91,0.34
B020760,1.7,1.14,131.91,0.33
B020761,2.2,1.1,91.5,0.3
B020762,4.21,1.51,120.95,0.34
B020763,2.13,1.66,114.05,0.28
B020764,4.88,0.96,128.81,0.38
B020765,4.49,1.91,103.9,0.41
B020766,2.51,1.09,189.32,0.38
B020767,4.85,1.28,175.05,0.34
B020768,2.04,1.23,168.71,0.27
B020769,3.82,1.6,69.86,0.33
B020770,3.62,0.75,84.69,0.29
B020771,2.77,1.62,107.43,0.35
B020772,3.64,0.63,70.91,0.22
B020773,2.75,1.24,66.15,0.24
B020774,4.93,1.44,97.4,0.26
B020775,3.21,0.54,105.68,0.17
B020776,2.89,1.04,82.33,0.31
B020777,2.89,1.82,79.13,0.49
B020778,1.64,0.56,57.77,0.13
B020779,1.0,0.6,90.07,0.37
B020780,1.66,0.76,184.88,0.33
B020781,2.31,0.95,123.78,0.22
B020782,1.44,1.94,127.61,0.18
B020783,2.58,1.1,58.9,0.36
B020784,4.3,1.05,92.91,0.35
B020785,1.52,0.53,159.4,0.21
B020786,4.16,0.64,68.3,0.14
B020787,3.93,1.88,118.65,0.34
B020788,4.42,1.86,65.73,0.33
B020789,2.57,0.98,198.13,0.34
B020790,1.96,0.64,176.6,0.19
B020791,3.06,0.82,147.34,0.43
B020792,2.21,1.93,54.94,0.24
B020793,1.79,1.19,151.54,0.15
B020794,2.47,0.66,92.0,0.28
B020795,4.22,1.85,170.12,0.24
B020796,2.85,1.11,167.21,0.47
B020797,2.8,1.96,126.23,0.22
B020798,2.65,1.82,178.32,0.45
B020799,2.56,1.6,84.44,0.37
B020800,3.54,1.35,198.32,0.34
B020801,1.78,0.74,141.64,0.32
B020802,1.5,1.31,62.79,0.14
B020803,1.67,1.97,91.65,0.42
B020804,2.67,1.9,191.55,0.34
B020805,2.53,0.62,77.47,0.5
B020806,1.42,1.1,170.49,0.49
B020807,2.34,0.91,164.41,0.35
B020808,4.95,1.26,118.96,0.3
B020809,2.31,0.94,143.94,0.13
B020810,2.72,0.63,177.83,0.32
B020811,1.34,0.76,159.74,0.17
B020812,4.59,1.41,54.74,0.39
B020813,2.94,1.12,191.1,0.47
B020814,1.23,1.96,50.42,0.16
B020815,4.21,1.41,145.08,0.27
B020816,3.25,1.73,191.24,0.47
B020817,4.0,1.58,138.4,0.31
B020818,4.12,0.79,61.43,0.19
B020819,2.93,0.97,50.35,0.45
B020820,4.73,1.54,168.57,0.37
B020821,3.3,1.13,81.84,0.37
B020822,4.61,0.86,88.9,0.32
B020823,4.9,1.54,152.91,0.28
B020824,2.39,1.92,135.05,0.29
B020825,1.48,0.97,134.46,0.29
B020826,4.34,1.25,86.36,0.34
B020827,3.32,1.29,116.97,0.17
B020828,3.18,1.38,146.02,0.43
B020829,2.54,0.56,83.26,0.47
B020830,1.19,1.33,154.07,0.29
B020831,2.88,1.63,79.81,0.38
B020832,4.49,1.03,197.24,0.45
B020833,3.32,1.33,52.28,0.21
B020834,3.86,1.89,93.94,0.28
B020835,4.14,1.48,179.19,0.48
B020836,3.23,1.95,182.33,0.3
B020837,2.12,1.32,64.45,0.49
B020838,2.44,1.36,52.71,0.11
B020839,1.23,0.71,143.22,0.21
B020840,2.61,2.0,153.54,0.15
B020841,3.62,0.92,152.17,0.16
B020842,2.73,1.74,171.48,0.38
B020843,1.64,1.28,113.93,0.48
B020844,4.14,0.96,174.53,0.45
B020845,1.2,1.86,123.78,0.25
B020846,1.61,1.54,165.2,0.34
B020847,3.89,0.8,115.38,0.19
B020848,4.13,0.67,174.42,0.11
B020849,3.48,0.81,139.87,0.41
B020850,3.68,1.1,197.87,0.11
B020851,2.98,0.82,116.48,0.29
B020852,1.71,1.46,103.49,0.49
B020853,1.98,1.3,114.07,0.34
B020854,3.38,1.62,159.59,0.34
B020855,2.43,1.1,77.64,0.46
B020856,1.65,0.65,75.39,0.27
B020857,2.18,1.51,78.01,0.5
B020858,1.15,1.99,87.82,0.49
B020859,3.68,1.2,132.86,0.26
B020860,3.89,1.59,140.05,0.14
B020861,3.05,1.21,144.43,0.47
B020862,4.06,1.5,197.42,0.3
B020863,1.79,0.52,53.85,0.26
B020864,2.95,0.87,131.94,0.45
B020865,1.74,1.17,52.55,0.11
B020866,4.94,1.27,156.74,0.27
B020867,3.29,1.94,198.05,0.28
B020868,2.74,0.97,98.01,0.16
B020869,1.61,1.49,140.88,0.1
B020870,2.82,1.65,123.32,0.16
B020871,4.75,0.92,163.32,0.47
B020872,2.12,1.4,114.31,0.29
B020873,2.32,1.65,62.36,0.4
B020874,4.17,1.24,78.06,0.3
B020875,4.44,0.96,113.03,0.48
B020876,2.14,1.83,80.09,0.1
B020877,2.3,0.76,155.3,0.32
B020878,3.94,1.84,186.33,0.34
B020879,1.88,1.53,50.64,0.19
B020880,3.5,1.06,137.44,0.36
B020881,1.2,0.9,184.15,0.13
B020882,4.4,1.5,169.25,0.24
B020883,4.87,1.95,68.14,0.18
B020884,1.93,0.71,163.4,0.12
B020885,4.84,0.87,69.83,0.41
B020886,1.5,1.56,128.91,0.3
B020887,3.28,0.61,195.71,0.23
B020888,3.48,0.93,65.39,0.39
B020889,2.66,1.2,159.0,0.14
B020890,1.0,0.62,162.57,0.33
B020891,2.47,1.83,90.85,0.49
B020892,2.84,1.47,168.9,0.47
B020893,3.26,1.01,146.92,0.34
B020894,3.29,0.96,130.22,0.43
B020895,2.74,1.45,168.49,0.13
B020896,2.97,1.72,67.78,0.21
B020897,3.85,1.85,57.33,0.33
B020898,4.77,0.73,160.75,0.23
B020899,3.94,0.98,78.9,0.49
B020900,1.33,0.78,101.47,0.32
B020901,3.45,0.55,145.17,0.17
B020902,3.4,1.24,114.17,0.47
B020903,1.9,0.74,92.24,0.34
B020904,2.77,1.48,115.23,0.36
B020905,2.92,1.43,75.86,0.43
B020906,3.28,1.9,69.92,0.11
B020907,4.75,1.19,74.04,0.26
B020908,3.66,0.89,65.85,0.32
B020909,4.75,1.31,94.24,0.46
B020910,4.16,0.74,64.1,0.26
B020911,3.69,1.86,198.12,0.47
B020912,4.81,1.92,86.66,0.14
B020913,3.68,1.11,129.5,0.48
B020914,3.57,1.14,184.11,0.39
B020915,1.43,1.98,187.76,0.39
B020916,3.2,1.17,188.8,0.45
B020917,1.83,0.81,135.46,0.17
B020918,1.91,1.98,56.78,0.32
B020919,3.09,0.65,129.75,0.29
B020920,2.25,0.64,103.8,0.42
B020921,3.4,1.94,75.03,0.4
B020922,4.3,1.14,152.67,0.49
B020923,3.25,1.37,118.37,0.49
B020924,1.45,1.96,150.96,0.18
B020925,2.6,1.39,102.78,0.19
B020926,1.27,0.68,147.59,0.44
B020927,3.76,0.93,54.25,0.43
B020928,2.0,1.74,185.15,0.36
B020929,4.85,0.51,91.35,0.46
B020930,4.58,0.89,73.3,0.23
B020931,4.72,1.61,195.83,0.12
B020932,2.44,1.44,117.33,0.22
B020933,1.81,1.04,147.25,0.12
B020934,3.69,1.98,105.39,0.15
B020935,2.42,1.51,71.28,0.2
B020936,2.72,0.66,187.05,0.3
B020937,3.88,0.62,185.55,0.21
B020938,4.06,1.66,156.24,0.28
B020939,4.33,1.55,86.0,0.29
B020940,2.54,0.62,70.77,0.24
B020941,3.89,1.83,151.69,0.13
B020942,4.62,1.46,141.16,0.39
B020943,3.22,0.78,139.31,0.41
B020944,1.09,1.63,82.77,0.33
B020945,1.35,0.77,157.8,0.15
B020946,1.87,1.31,120.44,0.19
B020947,4.01,1.6,189.62,0.34
B020948,2.84,0.8,195.41,0.14
B020949,2.83,0.6,133.1,0.29
B020950,1.5,0.58,92.22,0.11
B020951,2.34,1.56,169.76,0.26
B020952,2.37,1.97,97.89,0.1
B020953,1.44,1.34,178.6,0.41
B020954,2.18,1.11,63.99,0.27
B020955,2.15,1.87,136.17,0.22
B020956,1.57,0.51,192.76,0.31
B020957,4.44,0.62,147.12,0.11
B020958,3.43,1.77,52.79,0.47
B020959,4.57,0.88,137.4,0.23
B020960,4.52,1.58,190.76,0.36
B020961,1.52,0.65,93.77,0.25
B020962,1.34,1.34,168.83,0.2
B020963,1.87,1.22,169.84,0.11
B020964,4.04,1.78,189.42,0.13
B020965,1.88,0.69,127.07,0.14
B020966,3.87,1.47,170.71,0.29
B020967,3.88,1.98,185.47,0.45
B020968,1.71,0.56,122.3,0.26
B020969,4.9,0.54,90.88,0.24
B020970,1.67,0.56,137.99,0.39
B020971,2.34,1.1,61.69,0.45
B020972,1.19,1.06,81.3,0.16
B020973,2.71,1.4,178.91,0.13
B020974,2.12,1.33,58.37,0.37
B020975,2.05,1.07,195.36,0.31
B020976,2.62,1.18,91.08,0.37
B020977,1.65,0.68,140.85,0.41
B020978,4.6,1.62,85.98,0.29
B020979,3.72,1.55,196.38,0.26
B020980,4.19,1.97,135.05,0.16
B020981,1.28,0.66,100.04,0.29
B020982,4.09,0.58,198.17,0.16
B020983,3.41,1.63,153.38,0.49
B020984,4.94,1.64,166.12,0.24
B020985,1.24,1.86,101.95,0.21
B020986,2.9,1.35,129.23,0.46
B020987,2.85,1.15,59.69,0.49
B020988,2.11,0.64,77.6,0.25
B020989,2.33,0.69,141.95,0.1
B020990,2.81,1.8,128.71,0.45
B020991,3.18,0.54,119.49,0.17
B020992,4.98,0.9,186.7,0.21
B020993,3.52,1.56,179.64,0.41
B020994,1.7,0.66,183.43,0.19
B020995,2.18,1.69,152.97,0.12
B020996,4.9,0.83,148.84,0.28
B020997,1.57,1.8,196.58,0.25
B020998,4.3,1.37,141.79,0.17
B020999,3.98,1.38,162.2,0.18
B021000,1.29,0.96,186.81,0.36
B021001,1.43,1.96,96.43,0.11
B021002,3.97,1.87,50.4,0.15
B021003,4.39,1.5,102.08,0.15
B021004,1.88,1.16,78.75,0.17
B021005,1.08,1.52,121.37,0.49
B021006,1.8,0.74,167.2,0.47
B021007,4.17,1.3,157.86,0.17
B021008,1.11,1.33,63.25,0.34
B021009,2.2,1.74,92.97,0.5
B021010,1.28,1.63,190.86,0.12
B021011,4.15,1.43,140.99,0.23
B021012,2.52,1.8,129.44,0.21
B021013,2.37,0.58,109.32,0.15
B021014,2.76,1.02,185.89,0.5
B021015,4.3,1.18,157.75,0.42
B021016,4.39,1.67,197.41,0.3
B021017,1.24,0.61,149.06,0.26
B021018,1.13,1.53,114.64,0.14
B021019,1.18,1.23,72.81,0.38
B021020,1.45,1.22,167.69,0.4
B021021,1.88,1.74,148.37,0.4
B021022,3.59,1.56,94.81,0.25
B021023,1.39,0.79,111.77,0.16
B021024,2.59,1.38,61.2,0.19
B021025,1.66,1.23,143.78,0.26
B021026,3.89,0.98,194.74,0.14
B021027,3.14,1.1,87.4,0.39
B021028,2.07,0.9,61.75,0.22
B021029,3.27,1.28,59.53,0.47
B021030,4.62,1.3,190.65,0.13
B021031,3.81,1.91,132.07,0.37
B021032,2.81,0.57,163.81,0.34
B021033,3.09,0.81,53.39,0.39
B021034,2.52,0.78,95.65,0.24
B021035,4.79,1.61,129.08,0.26
B021036,4.61,0.6,55.94,0.19
B021037,1.5,1.35,58.76,0.39
B021038,3.89,1.58,186.65,0.26
B021039,3.04,0.59,169.88,0.25
B021040,1.38,1.4,137.23,0.16
B021041,1.44,1.31,113.95,0.4
B021042,3.6,1.8,54.7,0.45
B021043,4.14,0.85,78.07,0.24
B021044,4.9,0.89,165.77,0.2
B021045,4.37,0.88,143.05,0.31
B021046,3.37,0.74,92.05,0.41
B021047,1.44,1.6,180.65,0.3
B021048,4.75,1.79,71.3,0.11
B021049,3.47,1.46,62.21,0.33
B021050,4.72,1.46,119.02,0.46
B021051,2.16,1.38,177.97,0.14
B021052,3.81,1.71,61.61,0.47
B021053,4.56,1.52,148.41,0.11
B021054,2.46,1.06,196.39,0.32
B021055,2.79,0.83,111.09,0.18
B021056,3.68,1.95,168.24,0.48
B021057,3.37,0.59,128.69,0.34
B021058,4.35,1.32,147.29,0.31
B021059,4.58,1.44,117.52,0.27
B021060,4.37,1.02,55.7,0.45
B021061,1.37,1.69,179.98,0.44
B021062,4.07,1.25,99.18,0.11
B021063,1.4,0.87,161.98,0.42
B021064,3.39,1.58,152.27,0.3
B021065,1.12,0.7,142.0,0.26
B021066,1.93,1.8,158.25,0.35
B021067,2.38,1.72,74.26,0.17
B021068,1.07,1.4,153.63,0.37
B021069,2.53,1.64,175.73,0.16
B021070,1.87,1.85,183.41,0.21
B021071,2.2,1.42,57.43,0.11
B021072,1.63,1.23,94.44,0.14
B021073,3.8,1.32,116.93,0.24
B021074,4.29,1.01,53.16,0.26
B021075,3.44,1.33,55.3,0.45
B021076,4.54,1.89,135.86,0.12
B021077,3.79,0.85,124.22,0.21
B021078,3.86,1.86,141.78,0.47
B021079,2.53,1.8,185.18,0.19
B021080,1.75,1.33,175.08,0.14
B021081,2.77,1.52,175.89,0.39
B021082,1.19,0.79,114.67,0.44
B021083,4.94,1.92,178.49,0.47
B021084,3.56,1.32,155.71,0.18
B021085,1.03,1.04,183.48,0.25
B021086,3.63,1.38,82.71,0.32
B021087,1.36,0.63,139.93,0.11
B021088,2.71,1.59,186.74,0.14
B021089,4.22,1.36,138.17,0.43
B021090,1.69,1.97,156.83,0.18
B021091,2.35,1.64,86.7,0.47
B021092,1.32,1.18,153.99,0.23
B021093,2.06,1.08,184.59,0.36
B021094,4.8,1.26,179.01,0.32
B021095,3.74,1.51,59.38,0.29
B021096,3.19,0.79,56.88,0.28
B021097,3.2,1.56,72.77,0.34
B021098,4.73,1.1,147.42,0.43
B021099,2.06,0.59,79.49,0.36
B021100,4.9,0.82,72.11,0.22
B021101,4.67,1.86,70.66,0.19
B021102,1.95,0.59,181.48,0.47
B021103,3.04,0.78,145.5,0.18
B021104,2.61,1.34,137.72,0.21
B021105,3.3,1.12,163.03,0.1
B021106,2.45,1.87,134.15,0.29
B021107,2.74,0.95,66.1,0.3
B021108,3.25,1.48,116.14,0.5
B021109,2.83,0.62,110.21,0.37
B021110,1.67,0.76,85.08,0.17
B021111,4.25,0.83,130.46,0.35
B021112,2.71,1.15,155.68,0.11
B021113,2.19,1.85,101.24,0.36
B021114,3.41,1.26,176.25,0.36
B021115,4.15,1.25,61.76,0.2
B021116,2.86,1.41,130.9,0.26
B021117,4.64,1.95,174.84,0.26
B021118,1.49,0.72,65.37,0.11
B021119,2.25,1.83,103.39,0.16
B021120,4.51,1.91,119.58,0.25
B021121,1.52,1.24,91.3,0.25
B021122,2.37,1.82,159.65,0.35
B021123,2.7,1.42,63.11,0.32
B021124,2.27,1.59,178.05,0.19
B021125,2.89,1.95,142.08,0.33
B021126,1.6,1.73,153.42,0.39
B021127,1.1,1.12,103.37,0.21
B021128,2.46,1.73,100.45,0.32
B021129,4.53,1.08,73.61,0.32
B021130,3.89,0.78,139.26,0.23
B021131,4.45,0.74,189.56,0.46
B021132,2.12,1.03,124.88,0.29
B021133,3.33,1.24,155.17,0.14
B021134,2.92,1.54,119.31,0.24
B021135,2.55,1.46,51.33,0.44
B021136,1.55,1.74,85.48,0.43
B021137,1.34,1.5,67.7,0.44
B021138,3.5,0.62,188.47,0.29
B021139,1.96,1.59,161.93,0.17
B021140,3.45,0.72,61.75,0.28
B021141,4.12,0.81,117.28,0.16
B021142,4.08,0.77,174.57,0.13
B021143,1.11,0.85,87.71,0.22
B021144,2.66,1.7,136.13,0.43
B021145,1.14,1.98,59.05,0.16
B021146,4.34,0.77,101.42,0.21
B021147,3.06,0.55,175.57,0.47
B021148,2.08,1.92,171.3,0.46
B021149,3.85,1.96,145.93,0.25
B021150,1.98,1.37,173.93,0.25
B021151,4.42,1.11,100.48,0.44
B021152,4.39,1.72,168.26,0.14
B021153,3.29,1.6,177.61,0.26
B021154,1.14,1.92,148.99,0.23
B021155,2.84,0.58,96.14,0.2
B021156,2.43,1.83,101.58,0.33
B021157,1.23,0.71,156.39,0.35
B021158,2.06,0.51,187.33,0.1
B021159,4.17,1.41,179.47,0.17
B021160,3.33,1.66,63.22,0.35
B021161,1.39,0.86,189.09,0.27
B021162,3.77,1.79,145.79,0.11
B021163,1.1,1.71,136.87,0.24
B021164,4.12,1.1,81.05,0.4
B021165,3.17,1.52,109.07,0.27
B021166,4.64,0.96,146.98,0.45
B021167,3.81,1.82,54.74,0.27
B021168,4.14,1.86,51.23,0.13
B021169,4.46,1.03,144.64,0.31
B021170,4.73,1.9,132.09,0.14
B021171,1.55,1.26,176.56,0.23
B021172,4.04,1.67,93.09,0.11
B021173,3.14,0.84,52.72,0.31
B021174,4.34,1.74,121.16,0.29
B021175,3.95,0.89,103.59,0.4
B021176,3.93,0.69,72.95,0.15
B021177,3.49,1.92,145.13,0.16
B021178,3.14,1.22,189.58,0.28
B021179,1.02,1.72,81.84,0.39
B021180,1.55,1.62,87.82,0.4
B021181,4.7,1.09,74.96,0.35
B021182,2.95,0.57,135.81,0.46
B021183,3.8,1.99,88.29,0.47
B021184,2.91,1.67,79.21,0.28
B021185,4.39,0.6,120.37,0.36
B021186,2.0,1.61,144.33,0.11
B021187,1.5,0.99,100.69,0.29
B021188,1.73,1.76,64.12,0.44
B021189,4.37,0.74,98.17,0.3
B021190,1.89,1.74,111.68,0.43
B021191,4.41,0.75,179.53,0.28
B021192,2.61,2.0,178.0,0.45
B021193,3.49,1.97,144.3,0.18
B021194,2.32,1.2,165.61,0.21
B021195,2.32,1.75,162.41,0.2
B021196,1.34,1.7,146.43,0.41
B021197,4.13,1.77,194.93,0.41
B021198,2.25,1.84,80.56,0.21
B021199,2.39,0.55,100.44,0.34
B021200,3.97,1.18,184.78,0.24
B021201,2.12,0.99,177.07,0.36
B021202,3.84,1.93,88.94,0.5
B021203,1.14,0.73,88.58,0.39
B021204,1.73,1.74,116.86,0.16
B021205,1.28,1.26,85.83,0.12
B021206,2.58,1.12,58.7,0.33
B021207,1.96,0.54,129.11,0.43
B021208,2.0,0.53,137.78,0.29
B021209,3.81,1.04,193.71,0.39
B021210,1.92,0.75,139.52,0.25
B021211,3.73,1.77,72.69,0.15
B021212,4.9,1.72,108.54,0.11
B021213,4.07,1.89,113.1,0.18
B021214,2.74,1.93,143.75,0.47
B021215,1.15,0.92,154.94,0.42
B021216,1.4,1.84,182.97,0.49
B021217,4.26,0.87,155.01,0.23
B021218,3.29,1.56,98.3,0.38
B021219,2.08,1.92,101.62,0.49
B021220,1.71,1.4,85.32,0.42
B021221,4.88,0.56,82.92,0.34
B021222,2.09,0.77,155.06,0.34
B021223,3.33,1.71,170.16,0.22
B021224,1.24,1.92,165.9,0.23
B021225,3.09,1.2,181.31,0.15
B021226,4.92,0.71,121.72,0.31
B021227,2.83,0.84,113.48,0.45
B021228,3.79,1.77,94.3,0.21
B021229,3.68,1.83,199.73,0.26
B021230,3.08,0.58,68.68,0.37
B021231,4.14,0.94,92.08,0.45
B021232,4.92,1.55,162.14,0.32
B021233,4.78,1.5,145.81,0.32
B021234,4.37,1.89,193.37,0.17
B021235,1.55,1.87,80.51,0.5
B021236,4.34,1.2,52.52,0.5
B021237,3.84,0.63,131.89,0.38
B021238,4.87,1.2,79.85,0.29
B021239,2.34,1.52,85.36,0.38
B021240,3.36,1.7,102.45,0.11
B021241,3.77,0.99,137.77,0.19
B021242,1.05,1.74,197.77,0.31
B021243,1.18,1.48,195.71,0.31
B021244,3.43,1.39,51.29,0.37
B021245,3.85,0.57,147.98,0.46
B021246,2.21,0.64,198.01,0.4
B021247,1.66,0.59,100.3,0.19
B021248,2.71,1.82,124.18,0.13
B021249,2.08,1.23,81.07,0.33
B021250,2.87,0.52,145.31,0.23
B021251,3.79,1.12,98.73,0.41
B021252,2.97,1.35,195.12,0.41
B021253,2.98,1.8,58.39,0.25
B021254,3.01,1.56,188.77,0.42
B021255,1.1,1.21,148.19,0.42
B021256,2.84,1.69,80.91,0.21
B021257,1.72,1.63,188.16,0.29
B021258,1.63,1.03,134.43,0.49
B021259,3.9,1.94,93.61,0.44
B021260,4.46,1.13,150.2,0.18
B021261,2.04,1.15,81.37,0.41
B021262,2.94,0.94,126.33,0.4
B021263,4.97,1.29,83.82,0.32
B021264,4.41,1.94,149.66,0.42
B021265,1.05,1.5,114.85,0.12
B021266,3.9,1.01,182.71,0.49
B021267,1.35,1.99,82.93,0.19
B021268,1.41,1.5,187.33,0.17
B021269,2.79,1.62,81.41,0.15
B021270,3.32,1.15,57.04,0.34
B021271,2.44,1.52,141.46,0.13
B021272,2.39,1.73,157.18,0.24
B021273,2.74,0.64,104.99,0.32
B021274,2.56,1.8,110.35,0.18
B021275,1.74,1.27,64.63,0.18
B021276,2.82,0.73,163.65,0.33
B021277,1.48,1.0,95.12,0.35
B021278,3.69,1.2,84.0,0.1
B021279,3.22,0.77,118.19,0.41
B021280,4.64,1.06,169.68,0.42
B021281,2.33,1.58,84.25,0.33
B021282,3.57,1.82,68.29,0.39
B021283,3.78,1.01,122.14,0.32
B021284,4.24,1.87,164.77,0.42
B021285,4.66,1.88,66.42,0.24
B021286,3.98,1.15,98.3,0.3
B021287,2.82,1.04,86.8,0.15
B021288,4.05,1.24,65.41,0.39
B021289,4.18,1.86,194.51,0.47
B021290,3.21,1.05,132.31,0.16
B021291,4.2,1.78,94.96,0.35
B021292,2.42,1.92,184.47,0.37
B021293,4.58,1.86,90.2,0.38
B021294,2.23,1.46,189.75,0.35
B021295,2.19,1.13,153.23,0.34
B021296,3.6,1.25,146.64,0.4
B021297,2.66,0.75,50.88,0.15
B021298,5.0,1.71,85.12,0.37
B021299,2.73,1.12,54.09,0.5
B021300,1.18,1.54,65.44,0.2
B021301,1.21,0.52,65.55,0.44
B021302,1.49,0.71,180.37,0.36
B021303,3.16,1.84,194.03,0.16
B021304,2.21,1.63,129.91,0.16
B021305,4.56,1.19,124.82,0.41
B021306,1.79,0.9,117.19,0.26
B021307,4.52,1.49,100.89,0.37
B021308,1.42,0.77,178.61,0.24
B021309,4.82,1.71,184.14,0.31
B021310,2.14,0.73,118.02,0.18
B021311,2.13,1.6,139.31,0.38
B021312,3.51,1.12,193.86,0.48
B021313,2.96,0.58,162.86,0.18
B021314,1.82,0.96,125.36,0.36
B021315,2.95,0.98,150.11,0.15
B021316,2.22,0.68,144.76,0.45
B021317,2.85,1.43,81.97,0.14
B021318,2.76,1.73,75.86,0.12
B021319,4.1,1.21,76.36,0.28
B021320,2.93,0.97,126.0,0.22
B021321,4.57,0.7,162.11,0.36
B021322,4.22,1.34,56.77,0.31
B021323,2.56,1.77,123.37,0.45
B021324,2.55,0.99,192.71,0.3
B021325,1.02,1.07,178.91,0.44
B021326,3.98,1.46,78.97,0.47
B021327,3.27,1.64,79.71,0.38
B021328,1.87,1.49,182.85,0.49
B021329,1.91,1.38,144.19,0.37
B021330,2.3,1.07,54.79,0.36
B021331,2.02,0.53,191.61,0.12
B021332,3.0,0.56,151.75,0.5
B021333,3.02,0.58,120.25,0.34
B021334,1.1,0.86,160.3,0.29
B021335,2.71,1.45,199.26,0.1
B021336,3.68,1.16,71.46,0.45
B021337,4.42,1.83,182.38,0.2
B021338,1.49,0.81,158.1,0.1
B021339,1.48,1.08,132.47,0.38
B021340,3.3,0.75,103.6,0.2
B021341,2.21,1.09,183.41,0.1
B021342,3.65,0.69,182.94,0.46
B021343,4.09,1.84,115.04,0.37
B021344,4.19,1.65,135.53,0.44
B021345,2.24,1.4,182.43,0.44
B021346,2.78,0.69,67.27,0.17
B021347,3.63,0.7,133.4,0.44
B021348,3.19,0.51,58.54,0.38
B021349,2.04,1.29,170.19,0.16
B021350,1.12,0.53,167.63,0.15
B021351,2.57,1.05,87.28,0.41
B021352,1.63,0.62,125.94,0.36
B021353,2.32,0.55,84.64,0.36
B021354,3.03,0.51,149.48,0.26
B021355,3.18,1.15,119.89,0.39
B021356,2.78,0.82,149.55,0.37
B021357,4.17,1.68,181.22,0.44
B021358,2.02,0.62,50.32,0.29
B021359,1.91,0.54,146.88,0.23
B021360,4.87,0.76,138.61,0.47
B021361,1.08,0.62,98.15,0.43
B021362,3.18,1.42,51.74,0.26
B021363,3.7,1.78,70.65,0.37
B021364,4.97,1.43,199.31,0.19
B021365,4.96,1.15,194.88,0.33
B021366,3.05,0.55,60.77,0.3
B021367,2.43,1.31,64.62,0.17
B021368,3.75,1.23,123.96,0.39
B021369,2.8,0.97,169.55,0.39
B021370,4.29,0.65,119.62,0.15
B021371,4.22,1.51,69.29,0.17
B021372,3.35,1.67,162.48,0.3
B021373,2.89,1.28,198.01,0.31
B021374,2.41,1.45,130.24,0.1
B021375,3.7,1.03,184.23,0.41
B021376,1.94,1.56,89.55,0.37
B021377,4.86,1.29,124.99,0.38
B021378,4.09,0.9,185.33,0.2
B021379,3.13,0.87,139.61,0.13
B021380,4.18,1.23,70.06,0.32
B021381,4.42,0.52,185.21,0.46
B021382,3.73,0.96,177.48,0.42
B021383,3.78,0.81,75.57,0.29
B021384,4.91,1.13,61.25,0.43
B021385,1.67,1.54,154.45,0.15
B021386,1.12,1.49,139.38,0.46
B021387,1.44,1.87,165.36,0.13
B021388,1.71,1.28,174.66,0.45
B021389,1.53,0.82,67.14,0.12
B021390,3.39,0.76,150.31,0.18
B021391,3.05,0.52,134.88,0.16
B021392,4.7,0.91,143.83,0.31
B021393,4.53,1.35,195.3,0.14
B021394,2.83,0.6,66.06,0.48
B021395,3.76,1.1,169.82,0.24
B021396,1.66,0.94,72.36,0.28
B021397,4.77,1.14,199.05,0.48
B021398,4.22,1.37,198.7,0.22
B021399,4.73,1.27,79.25,0.42
B021400,2.16,1.02,145.43,0.21
B021401,3.92,1.55,106.58,0.46
B021402,4.42,1.25,79.24,0.27
B021403,2.18,1.28,63.38,0.23
B021404,2.47,0.99,92.68,0.43
B021405,3.65,0.5,172.64,0.21
B021406,4.76,1.5,173.84,0.3
B021407,3.1,0.77,101.63,0.25
B021408,4.83,1.94,109.59,0.38
B021409,4.58,1.42,164.47,0.44
B021410,1.82,1.3,128.68,0.2
B021411,2.89,1.38,128.58,0.19
B021412,2.89,1.57,153.78,0.34
B021413,1.5,0.65,178.05,0.24
B021414,1.23,1.65,191.63,0.18
B021415,2.93,1.55,69.08,0.18
B021416,2.45,1.0,194.39,0.3
B021417,3.06,1.89,115.97,0.18
B021418,2.0,0.64,94.68,0.17
B021419,1.32,0.57,161.88,0.25
B021420,1.72,0.95,178.59,0.36
B021421,1.24,1.29,87.18,0.38
B021422,4.56,0.71,63.4,0.3
B021423,3.68,1.73,95.24,0.43
B021424,3.54,1.94,118.32,0.23
B021425,1.68,1.05,52.73,0.4
B021426,4.07,1.29,123.4,0.49
B021427,2.01,1.72,89.54,0.17
B021428,3.43,1.35,193.47,0.28
B021429,3.18,1.86,86.2,0.47
B021430,1.33,1.33,100.65,0.17
B021431,4.87,1.65,156.28,0.48
B021432,2.77,1.18,108.84,0.36
B021433,4.15,1.09,124.6,0.41
B021434,2.04,0.98,169.91,0.27
B021435,3.52,1.24,126.86,0.29
B021436,1.68,1.56,172.01,0.39
B021437,2.73,0.58,63.09,0.37
B021438,2.62,1.07,194.69,0.36
B021439,3.36,1.46,123.32,0.38
B021440,4.21,1.27,170.17,0.19
B021441,4.82,0.85,146.71,0.47
B021442,4.34,1.76,103.13,0.33
B021443,3.59,1.88,125.38,0.48
B021444,2.96,0.78,177.99,0.2
